original_relpath,size,mtime_ns,out_name
AGENDA UNIVERSITARIA 2026/IMG_3509.HEIC,3586040,1761342106000000000,agenda-universitaria-2026_0019.webp
AGENDA UNIVERSITARIA 2026/IMG_3510.HEIC,3043052,1761342115000000000,agenda-universitaria-2026_0020.webp
AGENDA UNIVERSITARIA 2026/IMG_3511.HEIC,3114654,1761342120000000000,agenda-universitaria-2026_0021.webp
AGENDA UNIVERSITARIA 2026/IMG_3512.HEIC,2968830,1761342131000000000,agenda-universitaria-2026_0022.webp
AGENDA UNIVERSITARIA 2026/IMG_3513.HEIC,2934300,1761342136000000000,agenda-universitaria-2026_0023.webp
AGENDA UNIVERSITARIA 2026/IMG_3514.HEIC,2847340,1761342148000000000,agenda-universitaria-2026_0024.webp
AGENDA UNIVERSITARIA 2026/IMG_3515.HEIC,2918935,1761342158000000000,agenda-universitaria-2026_0025.webp
AGENDA UNIVERSITARIA 2026/IMG_3516.HEIC,2924991,1761342168000000000,agenda-universitaria-2026_0026.webp
AGENDA UNIVERSITARIA 2026/IMG_3517.HEIC,2938569,1761342173000000000,agenda-universitaria-2026_0027.webp
AGENDA UNIVERSITARIA 2026/IMG_3518.HEIC,3061910,1761342192000000000,agenda-universitaria-2026_0028.webp
AGENDA UNIVERSITARIA 2026/IMG_3519.HEIC,2870171,1761342204000000000,agenda-universitaria-2026_0029.webp
AGENDA UNIVERSITARIA 2026/IMG_3520.HEIC,2712381,1761342209000000000,agenda-universitaria-2026_0030.webp
CUADERNO DE PEDIDOS/4c864c9950e9440da37c4519fe8f35b8.mov,4885228,1762262994061614900,cuaderno-de-pedidos_0001.mp4
CUADERNO DOCENTE/DSC_0417.jpeg,9738901,1762263787156597700,cuaderno-docente_0001.webp
CUADERNO DOCENTE/DSC_0419.jpeg,9572382,1762263787093519100,cuaderno-docente_0002.webp
CUADERNO DOCENTE/DSC_0420.jpeg,10116833,1762263786966885600,cuaderno-docente_0003.webp
CUADERNO DOCENTE/DSC_0424.jpeg,8885434,1762263787030027400,cuaderno-docente_0004.webp
CUADERNO DOCENTE/DSC_0428.jpeg,10806789,1762263798487434100,cuaderno-docente_0005.webp
CUADERNO DOCENTE/DSC_0430.jpeg,11878196,1762263798630125400,cuaderno-docente_0006.webp
CUADERNO DOCENTE/DSC_0438.jpeg,8691697,1762263798409997800,cuaderno-docente_0007.webp
CUADERNO DOCENTE/DSC_0442.jpeg,9554543,1762263798710619700,cuaderno-docente_0008.webp
CUADERNO DOCENTE/DSC_0444.jpeg,9749282,1762263798774544200,cuaderno-docente_0009.webp
CUADERNO DOCENTE/DSC_0445.jpeg,9661635,1762263798550377000,cuaderno-docente_0010.webp
CUADERNO EMPRENDEDOR/IMG_0020.HEIC,575602,1762263429997215100,cuaderno-emprendedor_0001.webp
PLANNER SEMANAL PERPETUO/IMG_3464.HEIC,3336899,1761314738000000000,planner-semanal-perpetuo_0001.webp
PLANNER SEMANAL PERPETUO/IMG_3465.HEIC,3417415,1761314744000000000,planner-semanal-perpetuo_0002.webp
PLANNER SEMANAL PERPETUO/IMG_3466.HEIC,3740230,1761314811000000000,planner-semanal-perpetuo_0003.webp
PLANNER SEMANAL PERPETUO/IMG_3467.HEIC,3799156,1761314822000000000,planner-semanal-perpetuo_0004.webp
PLANNER SEMANAL PERPETUO/IMG_3468.HEIC,3246232,1761314832000000000,planner-semanal-perpetuo_0005.webp
PLANNER SEMANAL PERPETUO/IMG_3469.HEIC,3289024,1761314843000000000,planner-semanal-perpetuo_0006.webp
PLANNER SEMANAL PERPETUO/IMG_3470.HEIC,3255017,1761314852000000000,planner-semanal-perpetuo_0007.webp
PLANNER SEMANAL PERPETUO/IMG_3471.HEIC,3530526,1761314858000000000,planner-semanal-perpetuo_0008.webp
PLANNER SEMANAL PERPETUO/IMG_3472.HEIC,3329778,1761314888000000000,planner-semanal-perpetuo_0009.webp
PLANNER SEMANAL PERPETUO/IMG_3473.HEIC,3757854,1761314903000000000,planner-semanal-perpetuo_0010.webp
PLANNER SEMANAL PERPETUO/IMG_3474.MOV,6669118,1761314921000000000,planner-semanal-perpetuo_0011.mp4
PLANNER SEMANAL PERPETUO/IMG_3475.MOV,9045038,1761314937000000000,planner-semanal-perpetuo_0012.mp4
PLANNER SEMANAL PERPETUO/IMG_3477.MOV,10859068,1761314967000000000,planner-semanal-perpetuo_0013.mp4
PLANNER SEMANAL PERPETUO/IMG_3478.MOV,8245111,1761314994000000000,planner-semanal-perpetuo_0014.mp4
RECETARIOS/197761.jpeg,91336,1762262965425499700,recetarios_0001.webp
RECETARIOS/197768.jpeg,90754,1762263028908792600,recetarios_0002.webp
RECETARIOS/FAA6CCAE-7471-4E5D-86AB-A966C1593163.jpg,367224,1762263140999618800,recetarios_0003.webp
RECETARIOS/IMG_7227.MOV,28760234,1762263550728155700,recetarios_0004.mp4
RECETARIOS/IMG_7263.PNG,650977,1762263621273426600,recetarios_0005.webp
