original_relpath,size,mtime_ns,out_name
AGENDA UNIVERSITARIA 2026/6 si o si.HEIC,3642184,1761342059000000000,agenda-universitaria-2026_0009.webp
AGENDA UNIVERSITARIA 2026/7 si o si.HEIC,3524129,1761342096000000000,agenda-universitaria-2026_0010.webp
AGENDA UNIVERSITARIA 2026/8 si o si.HEIC,3043052,1761342115000000000,agenda-universitaria-2026_0011.webp
AGENDA UNIVERSITARIA 2026/9 si o si.HEIC,2968830,1761342131000000000,agenda-universitaria-2026_0012.webp
AGENDA UNIVERSITARIA 2026/IMG_3518.HEIC,3061910,1761342192000000000,agenda-universitaria-2026_0013.webp
BLOCK DE ORGANIZACION SEMANAL/alpiedelaletra-13.jpg,1683287,1762539970364281800,block-de-organizacion-semanal_0001.webp
BLOCK DE ORGANIZACION SEMANAL/IMG_0118.HEIC,1407912,1762542513540470500,block-de-organizacion-semanal_0002.webp
BLOCK DE ORGANIZACION SEMANAL/IMG_9390.HEIC,1602986,1762542076185923800,block-de-organizacion-semanal_0003.webp
BLOCK DE ORGANIZACION SEMANAL/IMG_9412.MOV,13319690,1762542141412218000,block-de-organizacion-semanal_0004.mp4
BLOCK DE ORGANIZACION SEMANAL/IMG_9414.HEIC,1250870,1762542211904713600,block-de-organizacion-semanal_0005.webp
BLOCK DE ORGANIZACION SEMANAL/IMG_9415.HEIC,1221507,1762542258065379100,block-de-organizacion-semanal_0006.webp
CUADERNO A4 TAPA BLANDA/0 cuaderno.png,1759663,1762621119228587300,cuaderno-a4-tapa-blanda_0001.webp
CUADERNO A4 TAPA BLANDA/E095A170-150D-4FB1-A9ED-DDAC553C401F.jpg,320943,1762541853283117900,cuaderno-a4-tapa-blanda_0002.webp
CUADERNO A4 TAPA BLANDA/IMG_0458.HEIC,1293469,1762541976580362800,cuaderno-a4-tapa-blanda_0003.webp
CUADERNO A4 TAPA BLANDA/IMG_3919.HEIC,2803757,1762542990706242200,cuaderno-a4-tapa-blanda_0004.webp
CUADERNO A4 TAPA BLANDA/IMG_3920.HEIC,2915477,1762542990596227200,cuaderno-a4-tapa-blanda_0005.webp
CUADERNO A4 TAPA BLANDA/IMG_3921.HEIC,2749268,1762542990523760000,cuaderno-a4-tapa-blanda_0006.webp
CUADERNO A4 TAPA BLANDA/IMG_3922.HEIC,3052842,1762542990899028600,cuaderno-a4-tapa-blanda_0007.webp
CUADERNO A4 TAPA BLANDA/IMG_3923.HEIC,2841403,1762542990772463200,cuaderno-a4-tapa-blanda_0008.webp
CUADERNO A4 TAPA BLANDA/IMG_3924.HEIC,2448068,1762542990647503800,cuaderno-a4-tapa-blanda_0009.webp
CUADERNO A4 TAPA BLANDA/IMG_3925.HEIC,2840979,1762542990836125500,cuaderno-a4-tapa-blanda_0010.webp
CUADERNO CON PLANNER PERPETUO/0 planner-perpetuo.png,1748226,1762621884838334600,cuaderno-con-planner-perpetuo_0001.webp
CUADERNO CON PLANNER PERPETUO/13c.jpg,118492,1762531081872938900,cuaderno-con-planner-perpetuo_0002.webp
CUADERNO CON PLANNER PERPETUO/AL PIE 01 R.mp4,42355301,1762530334867787800,cuaderno-con-planner-perpetuo_0003.mp4
CUADERNO DE PEDIDOS/0 pedidos.png,1652836,1762621270189309700,cuaderno-de-pedidos_0001.webp
CUADERNO DE PEDIDOS/37.jpg,170696,1762531152697245400,cuaderno-de-pedidos_0002.webp
CUADERNO DE PEDIDOS/38.jpg,175763,1762531134139008900,cuaderno-de-pedidos_0003.webp
CUADERNO DE PEDIDOS/4c864c9950e9440da37c4519fe8f35b8.mov,4885228,1762262994061614900,cuaderno-de-pedidos_0004.mp4
CUADERNO DE PEDIDOS/IMG_2675.jpg,2264438,1762530632457479900,cuaderno-de-pedidos_0005.webp
CUADERNO DE PEDIDOS/IMG_2676.jpg,1822822,1762530632477332800,cuaderno-de-pedidos_0006.webp
CUADERNO DE PEDIDOS/IMG_2677.jpg,3360126,1762530632428045200,cuaderno-de-pedidos_0007.webp
CUADERNO DE PEDIDOS/IMG_5241.HEIC,674058,1762530632384417600,cuaderno-de-pedidos_0008.webp
CUADERNO DOCENTE/DSC_0411.jpeg,9421236,1762530800855170700,cuaderno-docente_0001.webp
CUADERNO DOCENTE/DSC_0417.jpeg,9738901,1762263787156597700,cuaderno-docente_0002.webp
CUADERNO DOCENTE/DSC_0419.jpeg,9572382,1762263787093519100,cuaderno-docente_0003.webp
CUADERNO DOCENTE/DSC_0420.jpeg,10116833,1762263786966885600,cuaderno-docente_0004.webp
CUADERNO DOCENTE/DSC_0424.jpeg,8885434,1762263787030027400,cuaderno-docente_0005.webp
CUADERNO DOCENTE/DSC_0428.jpeg,10806789,1762263798487434100,cuaderno-docente_0006.webp
CUADERNO DOCENTE/DSC_0430.jpeg,11878196,1762263798630125400,cuaderno-docente_0007.webp
